ATHENEE ROYAL VAUBAN;Secondaire ordinaire;Rue Emile Tumelaire;12;6000
ATHENEE ROYAL ERNEST SOLVAY;Secondaire ordinaire;Boulevard Emile Devreux;27;6000
INSTITUT SAINT JOSEPH;Secondaire ordinaire;Boulevard de l'Yser;12;6000
CENTRE SCOLAIRE DU SACRE-COEUR;Secondaire ordinaire;Boulevard Audent;58;6000
INSTITUT NOTRE-DAME;Secondaire ordinaire;Rue de Marcinelle;41;6000
INSTITUT D'ENSEIGNEMENT TECHNIQUE NOTRE-DAME;Secondaire ordinaire;Rue de la Science;52;6000
INSTITUT SAINT-ANDRE;Secondaire ordinaire;Rue du Parc;6;6000
UNIVERSITE DU TRAVAIL - INSTITUT D'ENSEIGNEMENT TECHNIQUE SECONDAIRE;Secondaire ordinaire;Boulevard Gustave Roullier;1;6000
UNIVERSITE DU TRAVAIL - INSTITUT JEAN JAURES;Secondaire ordinaire;Rue de la Broucheterre;52B;6000
ATHENEE ROYAL LES MARLAIRES;Secondaire ordinaire;Rue de la Providence;12;6041
INSTITUT DE LA PROVIDENCE HUMANITES;Secondaire ordinaire;Faubourg de Bruxelles;105;6041
COLLEGE SAINT-MICHEL;Secondaire ordinaire;Faubourg de Charleroi;15;6041
INSTITUT SAINTE-ANNE;Secondaire ordinaire;Rue Circulaire;5;6041
ATHENEE ROYAL ORSINI DEWERPE;Secondaire ordinaire;Rue Gendebien;1;6040
CENTRE SCOLAIRE SAINT-JOSEPH - NOTRE-DAME;Secondaire ordinaire;Rue Emile Strimelle;1;6040
ATHENEE ROYAL GILLY;Secondaire ordinaire;Rue du Calvaire;20;6060
LYCEE MIXTE FRANCOIS DE SALES;Secondaire ordinaire;Rue des Vallées;18;6060
ATHENEE ROYAL YVONNE VIESLET;Secondaire ordinaire;Rue des Remparts;35;6030
ATHENEE ROYAL JULES DESTREE;Secondaire ordinaire;Rue des Haies;76;6001
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL LA SAMARITAINE;Secondaire ordinaire;Rue Samaritaine;14;6061
CENTRE EDUCATIF COMMUNAL SECONDAIRE DE COUILLET-MARCINELLE;Secondaire ordinaire;Route de Philippeville;304;6010
"CENTRE EDUCATIF COMMUNAL SECONDAIRE ""LA GARENNE""";Secondaire ordinaire;Rue de Lodelinsart;200;6000
ATHENEE ROYAL PIERRE PAULUS;Secondaire ordinaire;Rue des Gaux;100;6200
